"","long","lat","station","cmaq"
"542",-83.475,41.719,45.25,50.1099
"543",-83.476,39.789,47.5,54.1487
"544",-80.659,41.096,52.63,61.9023
"545",-81.912,41.103,55.25,61.9307
"546",-84.115,40.085,49.88,49.7388
"547",-84.182,39.781,49.37,45.8578
"548",-81.33,41.182,53.88,61.8742
"549",-84.721,39.836,52.37,50.9381
"550",-81.379,40.828,50.25,61.788
"551",-81.601,40.709,51.5,62.7222
"552",-81.124,40.931,53.38,64.5081
"553",-81.504,41.106,56.75,62.4775
"554",-80.592,41.454,44.63,59.1186
"555",-80.663,41.24,52.25,60.134
"556",-84.202,39.428,50,46.6319
"557",-81.46,39.432,60,61.0874
"558",-83.612,41.378,50.25,57.0277
"559",-94.67,35.75,62,59.5288
"560",-97.752,35.481,50.25,55.0556
"561",-94.986,35.855,63.5,58.4946
"562",-97.488,35.32,50.38,53.0129
"563",-98.366,34.649,42.88,52.9759
"564",-96.361,36.107,55.88,55.807
"565",-98.932,36.16,56.13,58.8253
"566",-97.857,33.894,56.38,61.2725
"567",-97.034,36.957,61.5,63.5866
"568",-97.474,35.161,45.25,53.1907
"569",-95.25,36.228,70.13,64.4694
"570",-97.506,35.517,52.88,52.78
"571",-97.303,35.479,54.87,53.4287
"572",-97.472,35.613,57.5,53.5214
"573",-94.839,36.922,67.88,60.6782
"574",-95.784,34.886,69.5,62.3688
"575",-96,36.374,68.5,60.3072
"576",-96.003,35.939,56.75,58.2261
"577",-95.764,36.133,62.25,60.9013
"578",-95.977,36.207,67,61.0921
"579",-77.25,39.93,41.38,43.7413
"580",-79.961,40.466,40,57.8435
"581",-80.016,40.446,49.25,57.8435
"582",-80.186,40.382,56.75,61.3669
"583",-79.732,40.617,51,53.1862
"584",-79.565,40.814,48.63,51.9578
"585",-80.504,40.563,55.5,62.4924
"586",-80.36,40.685,55,62.2107
"587",-80.317,40.748,52,63.0905
"588",-75.927,40.32,34.75,44.5422
"589",-78.371,40.535,41.88,44.7414
"590",-74.882,40.107,32.88,44.8708
"591",-78.915,40.31,43.63,51.3141
"592",-77.877,40.811,40.12,43.4121
"593",-75.769,39.834,40.37,45.4658
"594",-78.526,41.118,47.75,43.155
"595",-76.845,40.245,39.37,42.6021
"596",-76.681,40.272,36.63,42.3593
"597",-75.372,39.836,37.5,41.3743
"598",-80.039,42.142,39.63,43.2189
"599",-77.476,39.961,41.63,44.1939
"600",-80.285,39.816,56,61.6645
"601",-78.92,40.563,48,50.5136
"602",-75.578,41.479,28.25,42.4973
"603",-75.623,41.443,29.25,42.0948
"604",-76.283,40.047,40.88,43.5638
"605",-80.347,40.996,48.13,59.204
"606",-75.433,40.612,35.38,42.483
"607",-76.003,41.209,29.38,42.7712
"608",-75.846,41.266,33.88,42.1482
"609",-76.924,41.251,35.38,43.456
"610",-80.485,41.215,50.25,58.3381
"611",-75.309,40.112,35.25,44.1472
"612",-75.341,40.628,35.13,43.0837
"613",-75.237,40.692,32,42.4797
"614",-77.166,40.457,38.5,42.2396
"615",-75.098,40.009,23.75,42.6997
"616",-75.241,40.05,34.13,43.3425
"617",-75.012,40.076,36.25,44.7868
"618",-75.223,39.928,30.75,41.0599
"619",-76.939,41.645,32.5,43.9625
"620",-79.902,40.147,52,61.1146
"621",-80.261,40.171,49,62.5002
"622",-80.421,40.445,54.38,62.8965
"623",-79.693,40.428,48.88,58.2855
"624",-79.506,40.305,50.63,54.2751
"625",-76.699,39.965,42.5,44.1296
"626",-71.72,41.615,32.25,39.1237
"627",-71.362,41.84,30,35.4951
"628",-71.428,41.492,35.25,39.8655
"629",-81.789,33.344,51.63,48.8602
"630",-82.49,34.777,46.38,53.8322
"631",-81.466,33.322,50.5,51.0316
"632",-79.937,32.989,58.25,57.9627
"633",-79.657,32.943,62.12,58.8653
"634",-81.817,35.132,57.63,55.2814
"635",-81.204,34.795,47.75,49.8197
"636",-80.199,34.617,47.13,52.0464
"637",-80.965,33.01,50.25,50.3154
"638",-79.745,34.287,58.5,50.5113
"639",-81.854,33.742,48,54.1432
"640",-83.238,34.807,48.5,53.2923
"641",-82.839,34.655,50.25,54.083
"642",-80.962,34.096,54.5,54.4951
"643",-80.781,33.817,48.38,51.1657
"644",-80.868,34.133,55.38,54.4951
"645",-82.076,34.991,48.88,54.5337
"646",-81.56,34.541,48.38,50.2283
"647",-79.565,33.726,50.38,55.7946
"648",-96.682,43.538,50.75,51.2872
"649",-84.223,35.965,54.88,54.5913
"650",-83.944,35.631,56.75,53.9804
"651",-83.784,35.603,49.38,54.0256
"652",-86.745,36.205,53.75,59.809
"653",-86.621,36.151,55.38,63.1974
"654",-85.182,35.234,53.13,55.2558
"655",-85.162,35.103,56.25,57.5711
"656",-83.601,36.114,65.5,58.2376
"657",-83.874,36.019,60.13,54.0008
"658",-84.317,35.745,52.25,52.5281
"659",-84.946,35.289,58,54.2474
"660",-86.599,35.733,54.25,57.2774
"661",-83.61,35.697,49.13,54.2878
"662",-83.498,35.563,54,55.18
"663",-90.019,35.217,66,67.4394
"664",-89.832,35.377,73.75,67.6853
"665",-89.642,35.188,78.25,76.7257
"666",-82.426,36.541,63.37,62.444
"667",-82.486,36.582,60.87,62.8748
"668",-86.653,36.298,59.38,57.5504
"669",-86.564,36.454,55.13,57.9987
"670",-87.137,35.952,56.38,61.7031
"671",-86.286,36.06,54.38,63.4841
"672",-98.62,29.515,60.63,61.3557
"673",-98.565,29.632,70,60.0189
"674",-98.312,29.275,53.63,54.6676
